# CUTOFF	ENERGY [MeV]	OMEGA [MeV]	PHSH [deg]	ERE [fm^-(2l+1)]	Flag G_C	Flag G_CT	G_C(rmin,rmin) [MeV^-1 fm^-3]	 G_CT(rmin,rmin) [MeV^-1 fm^-3]
10.0	0.71456579682	0.23039485162579562	0.22551686390690767	0.04228324014188071	0	0	-12.86012679369965	-12.860126795321632
10.0	1.494213999261	0.5183884161580402	2.48844950169509	0.017238702118649186	0	0	-12.860129550768338	-12.860129551406002
10.0	2.240099240652	0.8099819002469377	6.129233469546596	0.015438644884240434	0	0	-12.860130468203344	-12.860130468750782
10.0	3.70013457058	1.4399678226612227	17.47303791945231	0.014288006885421546	0	0	-12.860131369366933	-12.860131369823334
10.0	4.810474675465	1.9938016006022043	29.17564669413785	0.01397077604630709	0	0	-12.860131813134974	-12.860131813540006
10.0	5.115953606078	2.1599517339621674	32.64660194186994	0.013927240935840584	0	0	-12.860131918960548	-12.860131919352703
10.0	5.46308048437	2.3563109825600868	36.63664759700942	0.013890424002898204	0	0	-12.860132033271464	-12.860132033649275
11.0	1.160997095902	0.23039485162579562	1.0607449385755416	0.024355371530226464	0	0	-12.860126882238555	-12.86012688315909
11.0	2.483884237443	0.5183884161580402	7.336398410829708	0.015708578725223705	0	0	-12.860129747051818	-12.86012974760236
11.0	3.734743004426	0.8099819002469377	17.352713005518694	0.014600972631895952	0	0	-12.860130764644957	-12.860130765112254
11.0	6.138959597368	1.4399678226612227	42.695622436492826	0.014381481459136102	0	0	-12.860131853085802	-12.860131853456833
11.0	8.075324446723	1.9938016006022043	58.858748474338775	0.015251872741075923	0	0	-12.860132460695908	-12.860132461023293
11.0	8.649699177713	2.1599517339621674	62.24575197301102	0.01566540413807251	0	0	-12.860132619857062	-12.860132620176628
11.0	9.330084006772	2.3563109825600868	65.53536342010999	0.01624105384967338	0	0	-12.86013280026984	-12.860132800583008
12.0	3.465500693947	0.5183884161580402	14.59158783537404	0.015008913027096173	0	0	-12.860129941742303	-12.860129942234428
12.0	5.203425825451	0.8099819002469377	32.283026945133365	0.014456970190336182	0	0	-12.860131055943983	-12.860131056353339
12.0	8.686226004118	1.4399678226612227	61.498967778064504	0.01602857552552261	0	0	-12.860132358320577	-12.860132358652631
12.0	11.747605327532	1.9938016006022043	71.20944718589914	0.019710329320915362	0	0	-12.860133189080997	-12.860133189422907
12.0	12.681246404165	2.1599517339621674	72.45393868557404	0.021263063060916496	0	0	-12.86013341950452	-12.86013341986447
12.0	13.793750983853	2.3563109825600868	73.32456855708516	0.023381506632795004	0	0	-12.860133685630743	-12.860133686021722
20.0	0.709216263712	0.23039485162579562	2.5962855214740554	0.003831827477105535	0	0	-12.860126792638727	-12.860126792777317
20.0	1.411961705271	0.5183884161580402	18.58166687892671	0.002574242131587508	0	0	-12.86012953445532	-12.860129534529328
20.0	1.901119135797	0.8099819002469377	47.79223301394893	0.0020190126973209646	0	0	-12.860130400971634	-12.860130401011096
20.0	2.504161105895	1.4399678226612227	-86.56001785999725	0.0013428274343592372	0	0	-12.860131132160614	-12.86013113215629
20.0	2.913450858419	1.9938016006022043	-68.25069634357746	0.0008107626243352209	0	0	-12.86013143688378	-12.860131436846157
20.0	3.032288183253	2.1599517339621674	-64.99659949868638	0.0006607902453118423	0	0	-12.860131505690532	-12.860131505643315
20.0	3.17292113888	2.3563109825600868	-62.01783231382761	0.0004921904620000229	0	0	-12.860131579044305	-12.860131578986023
21.0	1.140375976642	0.23039485162579562	9.54063002726016	0.003020817866924184	0	0	-12.860126878148842	-12.860126878246755
21.0	2.153242251147	0.5183884161580402	66.54495288774933	0.0017984277619370308	0	0	-12.860129681474449	-12.860129681498181
21.0	2.938851728858	0.8099819002469377	-73.3384148780402	0.0010640031587286509	0	0	-12.860130606790367	-12.860130606761704
21.0	4.854439160292	1.4399678226612227	-57.63222372158422	-0.00025941063288876035	0	0	-12.86013159831147	-12.860131598165886
21.0	6.671437612027	1.9938016006022043	-58.56848337473251	-0.0009355995259746289	0	0	-12.860132182244241	-12.860132182003575
21.0	7.230584780006	2.1599517339621674	-59.39712166871019	-0.0010309769502558882	0	0	-12.860132338384798	-12.86013233811825
21.0	7.898537214971	2.3563109825600868	-60.52035385994976	-0.0010734999506605298	0	0	-12.860132516331277	-12.860132516036053
22.0	1.55528012817	0.23039485162579562	24.32130806902831	0.0024666586025137507	0	0	-12.86012696043663	-12.860126960502777
22.0	2.945754273959	0.5183884161580402	-74.29433683246367	0.001111710116014914	0	0	-12.860129838657226	-12.860129838630183
22.0	4.411664333281	0.8099819002469377	-59.347537321433265	0.00010685667158860873	0	0	-12.860130898905412	-12.860130898789912
22.0	7.773623656977	1.4399678226612227	-61.482996511147626	-0.0007156111707593933	0	0	-12.860132177311526	-12.860132177035206
22.0	10.833733276445	1.9938016006022043	-67.57979602959996	0.0003909645765184152	0	0	-12.860133007818687	-12.860133007455557
22.0	11.766510517284	2.1599517339621674	-69.47645591357693	0.0010938595587782988	0	0	-12.860133238070397	-12.860133237693221
22.0	12.876878912379	2.3563109825600868	-71.70655454432355	0.002161748218110984	0	0	-12.860133503772285	-12.860133503386432
