# All p_alpha 2S12 input data!
# The index is 1-2-3 -> excited state #
# 2S12
# Index     Omega [MeV]             Energy [MeV]
1		    2.3563109825600868		5.775386259196
1		    2.1599517339621674		5.246438366219
1		    1.9938016006022043		4.805194376762
1		    1.4399678226612227		3.380645834202
1		    0.8099819002469377		1.860258676831
1		    0.5183884161580402		1.197527232559
1		    0.23039485162579562		0.565524317243
1		    0.12959710403951005		0.343965598623
1		    0.08294214658528642		0.237827666941
1		    0.057598712906448905	0.177501594981
1		    0.03999910618503396		0.133358794958

2		    2.3563109825600868		11.000660780384
2		    2.1599517339621674		10.024416279584
2		    1.9938016006022043		9.204432149795
2		    1.4399678226612227		6.518741334703
2		    0.8099819002469377		3.578531739469
2		    0.5183884161580402		2.27233985538
2		    0.23039485162579562		1.023650961222
2		    0.12959710403951005		0.594618011468
2		    0.08294214658528642		0.395186050406
2		    0.057598712906448905	0.285284484697
2		    0.03999910618503396		0.20733483076

3		    2.3563109825600868		16.03797293533
3		    2.1599517339621674		14.640569657589
3		    1.9938016006022043		13.462979147013
3		    1.4399678226612227		9.579644860314
3		    0.8099819002469377		5.275860027661
3		    0.5183884161580402		3.343783501206
3		    0.23039485162579562		1.486957130774
3		    0.12959710403951005		0.85006482513
3		    0.08294214658528642		0.55620049744
3		    0.057598712906448905	0.395777614118
3		    0.03999910618503396		0.283220767804
